country,lat,long,date,cases,type
China,41.1129,85.2401,2020-01-23,2,confirmed
China,24.974,101.487,2020-01-23,2,confirmed
China,29.1832,120.0934,2020-01-23,27,confirmed
Colombia,4.5709,-74.2973,2020-01-23,0,confirmed
Comoros,-11.6455,43.3333,2020-01-23,0,confirmed
Congo (Brazzaville),-0.228,15.8277,2020-01-23,0,confirmed
Congo (Kinshasa),-4.0383,21.7587,2020-01-23,0,confirmed
Costa Rica,9.7489,-83.7534,2020-01-23,0,confirmed
Cote d'Ivoire,7.54,-5.5471,2020-01-23,0,confirmed
Croatia,45.1,15.2,2020-01-23,0,confirmed
Cuba,21.521757,-77.78116700000002,2020-01-23,0,confirmed
Cyprus,35.1264,33.4299,2020-01-23,0,confirmed
Czechia,49.8175,15.473,2020-01-23,0,confirmed
Denmark,61.8926,-6.9118,2020-01-23,0,confirmed
Denmark,71.7069,-42.6043,2020-01-23,0,confirmed
Denmark,56.2639,9.5018,2020-01-23,0,confirmed
Diamond Princess,0,0,2020-01-23,0,confirmed
Djibouti,11.8251,42.5903,2020-01-23,0,confirmed
Dominica,15.415,-61.371,2020-01-23,0,confirmed
Dominican Republic,18.7357,-70.1627,2020-01-23,0,confirmed
Ecuador,-1.8312,-78.1834,2020-01-23,0,confirmed
Egypt,26.820553000000004,30.802498,2020-01-23,0,confirmed
El Salvador,13.7942,-88.8965,2020-01-23,0,confirmed
Equatorial Guinea,1.6508,10.2679,2020-01-23,0,confirmed
Eritrea,15.1794,39.7823,2020-01-23,0,confirmed
Estonia,58.5953,25.0136,2020-01-23,0,confirmed
Eswatini,-26.5225,31.4659,2020-01-23,0,confirmed
Ethiopia,9.145,40.4897,2020-01-23,0,confirmed
Fiji,-17.7134,178.065,2020-01-23,0,confirmed
Finland,61.92411,25.748151,2020-01-23,0,confirmed
France,3.9339,-53.1258,2020-01-23,0,confirmed
France,-17.6797,149.4068,2020-01-23,0,confirmed
France,16.265,-61.551,2020-01-23,0,confirmed
France,14.6415,-61.0242,2020-01-23,0,confirmed
France,-12.8275,45.166244,2020-01-23,0,confirmed
France,-20.904305,165.618042,2020-01-23,0,confirmed
France,-21.1151,55.5364,2020-01-23,0,confirmed
France,17.9,-62.8333,2020-01-23,0,confirmed
France,46.8852,-56.3159,2020-01-23,0,confirmed
France,18.0708,-63.0501,2020-01-23,0,confirmed
France,46.2276,2.2137,2020-01-23,0,confirmed
Gabon,-0.8037,11.6094,2020-01-23,0,confirmed
Gambia,13.4432,-15.3101,2020-01-23,0,confirmed
Georgia,42.3154,43.3569,2020-01-23,0,confirmed
Germany,51.165691,10.451526,2020-01-23,0,confirmed
Ghana,7.9465,-1.0232,2020-01-23,0,confirmed
