country,lat,long,date,cases,type
Costa Rica,9.7489,-83.7534,2020-01-23,0,recovered
Cote d'Ivoire,7.54,-5.5471,2020-01-23,0,recovered
Croatia,45.1,15.2,2020-01-23,0,recovered
Cuba,21.521757,-77.78116700000002,2020-01-23,0,recovered
Cyprus,35.1264,33.4299,2020-01-23,0,recovered
Czechia,49.8175,15.472999999999999,2020-01-23,0,recovered
Denmark,61.8926,-6.9118,2020-01-23,0,recovered
Denmark,71.7069,-42.6043,2020-01-23,0,recovered
Denmark,56.2639,9.5018,2020-01-23,0,recovered
Diamond Princess,0,0,2020-01-23,0,recovered
Djibouti,11.8251,42.5903,2020-01-23,0,recovered
Dominica,15.415,-61.371,2020-01-23,0,recovered
Dominican Republic,18.7357,-70.1627,2020-01-23,0,recovered
Ecuador,-1.8312,-78.1834,2020-01-23,0,recovered
Egypt,26.820553000000004,30.802497999999996,2020-01-23,0,recovered
El Salvador,13.7942,-88.8965,2020-01-23,0,recovered
Equatorial Guinea,1.6508,10.2679,2020-01-23,0,recovered
Eritrea,15.1794,39.7823,2020-01-23,0,recovered
Estonia,58.5953,25.0136,2020-01-23,0,recovered
Eswatini,-26.5225,31.4659,2020-01-23,0,recovered
Ethiopia,9.145,40.4897,2020-01-23,0,recovered
Fiji,-17.7134,178.065,2020-01-23,0,recovered
Finland,61.92411,25.748151,2020-01-23,0,recovered
France,3.9339,-53.1258,2020-01-23,0,recovered
France,-17.6797,149.4068,2020-01-23,0,recovered
France,16.265,-61.551,2020-01-23,0,recovered
France,14.6415,-61.0242,2020-01-23,0,recovered
France,-12.8275,45.166244,2020-01-23,0,recovered
France,-20.904304999999997,165.618042,2020-01-23,0,recovered
France,-21.1151,55.5364,2020-01-23,0,recovered
France,17.9,-62.8333,2020-01-23,0,recovered
France,46.8852,-56.3159,2020-01-23,0,recovered
France,18.0708,-63.0501,2020-01-23,0,recovered
France,46.2276,2.2137,2020-01-23,0,recovered
Gabon,-0.8037,11.6094,2020-01-23,0,recovered
Gambia,13.4432,-15.3101,2020-01-23,0,recovered
Georgia,42.3154,43.3569,2020-01-23,0,recovered
Germany,51.165690999999995,10.451526,2020-01-23,0,recovered
Ghana,7.9465,-1.0232,2020-01-23,0,recovered
Greece,39.0742,21.8243,2020-01-23,0,recovered
